"Country","Mountain_range","Locality","Plot","Subplot","Date","Day","Month","Year","Radiation","Phos_P","Glu_P","SOC_P","NT_P","PT_P","K_P","pH_P","Cond_P","Phos_B","Glu_B","SOC_B","NT_B","PT_B","K_B","pH_B","Cond_B","Phos_T","Glu_T","SOC_T","NT_T","PT_T","K_T","pH_T","Cond_T"
"Spain","Sierra de Guadarrama","Collado de la Najarra","10","5",2010-06-17,17,6,2010,0.81390316,4.6003203495,2.237341639,10.060821165,8.45185869,4.717598732,0.012676899,4.935,58.03,3.513401974,1.397653496,6.001644518,7.07859756,1.027399261,0.008225662,4.94,43.48,5.445472904,2.532040257,9.921079225,8.419650307,2.025610798,0.012172897,5.09654505,54.31679874
"Spain","Sierra de Guadarrama","Collado de las Guarramillas","11","1",2011-07-27,27,7,2011,0.7233096,4.712198913,3.141459592,5.024241146,3.931545084,0.439354353,0.012193837,4.954,43.83,3.702654496,2.074510607,4.557371655,2.88217977,0.34522307,0.009638664,4.97,44.18,4.727476249,3.364269804,5.367198105,3.75930538,0.46698276,0.011485676,5.037066722,42.48919562
"Spain","Sierra de Guadarrama","Collado de las Guarramillas","11","2",2011-07-27,27,7,2011,0.7233096,4.712198913,3.141459592,5.024241146,3.931545084,0.439354353,0.012193837,4.954,43.83,3.702654496,2.074510607,4.557371655,2.88217977,0.34522307,0.009638664,4.97,44.18,4.727476249,3.364269804,5.367198105,3.75930538,0.46698276,0.011485676,5.037066722,42.48919562
"Spain","Sierra de Guadarrama","Collado de las Guarramillas","11","3",2011-07-27,27,7,2011,0.7233096,4.712198913,3.141459592,5.024241146,3.931545084,0.439354353,0.012193837,4.954,43.83,3.702654496,2.074510607,4.557371655,2.88217977,0.34522307,0.009638664,4.97,44.18,4.727476249,3.364269804,5.367198105,3.75930538,0.46698276,0.011485676,5.037066722,42.48919562
"Spain","Sierra de Guadarrama","Collado de las Guarramillas","11","4",2011-07-27,27,7,2011,0.7233096,4.712198913,3.141459592,5.024241146,3.931545084,0.439354353,0.012193837,4.954,43.83,3.702654496,2.074510607,4.557371655,2.88217977,0.34522307,0.009638664,4.97,44.18,4.727476249,3.364269804,5.367198105,3.75930538,0.46698276,0.011485676,5.037066722,42.48919562
"Spain","Sierra de Guadarrama","Collado de las Guarramillas","11","5",2011-07-27,27,7,2011,0.7233096,4.712198913,3.141459592,5.024241146,3.931545084,0.439354353,0.012193837,4.954,43.83,3.702654496,2.074510607,4.557371655,2.88217977,0.34522307,0.009638664,4.97,44.18,4.727476249,3.364269804,5.367198105,3.75930538,0.46698276,0.011485676,5.037066722,42.48919562
"Spain","Sierra de Guadarrama","Collado de las Zorras","12","1",2010-08-18,18,8,2010,0.707319964,4.942565672,2.795608718,4.7944350855,3.942591599,0.4813757855,0.0078534735,4.717,33.41,3.949901583,2.288891142,2.773699725,2.848787908,0.454036696,0.006646951,4.602,30.18,4.073638256,2.546752865,3.33960748,2.581415082,0.407911683,0.006981529,4.70776806,31.00546513
"Spain","Sierra de Guadarrama","Collado de las Zorras","12","2",2010-08-18,18,8,2010,0.707319964,4.942565672,2.795608718,4.7944350855,3.942591599,0.4813757855,0.0078534735,4.717,33.41,3.949901583,2.288891142,2.773699725,2.848787908,0.454036696,0.006646951,4.602,30.18,4.073638256,2.546752865,3.33960748,2.581415082,0.407911683,0.006981529,4.70776806,31.00546513
"Spain","Sierra de Guadarrama","Collado de las Zorras","12","3",2010-08-18,18,8,2010,0.707319964,4.942565672,2.795608718,4.7944350855,3.942591599,0.4813757855,0.0078534735,4.717,33.41,3.949901583,2.288891142,2.773699725,2.848787908,0.454036696,0.006646951,4.602,30.18,4.073638256,2.546752865,3.33960748,2.581415082,0.407911683,0.006981529,4.70776806,31.00546513
"Spain","Sierra de Guadarrama","Collado de las Zorras","12","4",2010-08-18,18,8,2010,0.707319964,4.942565672,2.795608718,4.7944350855,3.942591599,0.4813757855,0.0078534735,4.717,33.41,3.949901583,2.288891142,2.773699725,2.848787908,0.454036696,0.006646951,4.602,30.18,4.073638256,2.546752865,3.33960748,2.581415082,0.407911683,0.006981529,4.70776806,31.00546513
"Spain","Sierra de Guadarrama","Collado de las Zorras","12","5",2010-08-18,18,8,2010,0.707319964,4.942565672,2.795608718,4.7944350855,3.942591599,0.4813757855,0.0078534735,4.717,33.41,3.949901583,2.288891142,2.773699725,2.848787908,0.454036696,0.006646951,4.602,30.18,4.073638256,2.546752865,3.33960748,2.581415082,0.407911683,0.006981529,4.70776806,31.00546513
"Spain","Sierra de Guadarrama","Collado de Peña Vaqueros","13","1",2011-07-28,28,7,2011,0.695219224,3.106315899,2.8185365055,4.735225215,3.5084094815,0.5816676195,0.010520297,5.104,32.46,3.069295512,2.545198811,2.928604758,2.475932538,0.470581916,0.009398446,5.118,29.62,2.977132551,2.684447179,3.353010187,2.614770506,0.455011081,0.010265518,5.049478807,29.90248983
"Spain","Sierra de Guadarrama","Collado de Peña Vaqueros","13","2",2011-07-28,28,7,2011,0.695219224,3.106315899,2.8185365055,4.735225215,3.5084094815,0.5816676195,0.010520297,5.104,32.46,3.069295512,2.545198811,2.928604758,2.475932538,0.470581916,0.009398446,5.118,29.62,2.977132551,2.684447179,3.353010187,2.614770506,0.455011081,0.010265518,5.049478807,29.90248983
"Spain","Sierra de Guadarrama","Collado de Peña Vaqueros","13","3",2011-07-28,28,7,2011,0.695219224,3.106315899,2.8185365055,4.735225215,3.5084094815,0.5816676195,0.010520297,5.104,32.46,3.069295512,2.545198811,2.928604758,2.475932538,0.470581916,0.009398446,5.118,29.62,2.977132551,2.684447179,3.353010187,2.614770506,0.455011081,0.010265518,5.049478807,29.90248983
"Spain","Sierra de Guadarrama","Collado de Peña Vaqueros","13","4",2011-07-28,28,7,2011,0.695219224,3.106315899,2.8185365055,4.735225215,3.5084094815,0.5816676195,0.010520297,5.104,32.46,3.069295512,2.545198811,2.928604758,2.475932538,0.470581916,0.009398446,5.118,29.62,2.977132551,2.684447179,3.353010187,2.614770506,0.455011081,0.010265518,5.049478807,29.90248983
"Spain","Sierra de Guadarrama","Collado de Peña Vaqueros","13","5",2011-07-28,28,7,2011,0.695219224,3.106315899,2.8185365055,4.735225215,3.5084094815,0.5816676195,0.010520297,5.104,32.46,3.069295512,2.545198811,2.928604758,2.475932538,0.470581916,0.009398446,5.118,29.62,2.977132551,2.684447179,3.353010187,2.614770506,0.455011081,0.010265518,5.049478807,29.90248983
"Spain","Sierra de Guadarrama","Collado de Valdemartín","14","1",2010-08-11,11,8,2010,0.743144825,6.0106350565,2.527373607,7.4037927185,5.6766969005,0.6816096935,0.006368354,4.799,28.914,2.912080624,1.526125575,7.490942938,4.408963324,0.576110241,0.008682023,4.918,187.54,4.909734652,2.660014087,7.027023957,5.11031776,0.688584885,0.007266426,4.904461763,72.06464345
"Spain","Sierra de Guadarrama","Collado de Valdemartín","14","2",2010-08-11,11,8,2010,0.743144825,6.0106350565,2.527373607,7.4037927185,5.6766969005,0.6816096935,0.006368354,4.799,28.914,2.912080624,1.526125575,7.490942938,4.408963324,0.576110241,0.008682023,4.918,187.54,4.909734652,2.660014087,7.027023957,5.11031776,0.688584885,0.007266426,4.904461763,72.06464345
"Spain","Sierra de Guadarrama","Collado de Valdemartín","14","3",2010-08-11,11,8,2010,0.743144825,6.0106350565,2.527373607,7.4037927185,5.6766969005,0.6816096935,0.006368354,4.799,28.914,2.912080624,1.526125575,7.490942938,4.408963324,0.576110241,0.008682023,4.918,187.54,4.909734652,2.660014087,7.027023957,5.11031776,0.688584885,0.007266426,4.904461763,72.06464345
